Class,Mean_Hue,Mean_Saturation,Mean_Value
MENUJU MATANG,4.752576977137185,28.174699571397568,22.349359959731867
MENUJU MATANG,3.8489482236006625,24.72908390500418,19.258293560012376
MENUJU MATANG,4.970968803751125,29.405581941329892,22.66230334372187
MENUJU MATANG,4.600259474766108,26.317478384010094,20.96570941940747
MENUJU MATANG,4.136378786691422,27.411637859579958,20.01185884200987
MENUJU MATANG,5.038259875136639,24.798843886136027,20.321194432890465
MENUJU MATANG,3.867544605898759,22.16806262608909,16.670013490527747
MENUJU MATANG,4.476880987975823,22.246598608699845,17.809709148642458
MENUJU MATANG,5.488686957967625,29.639980426050506,24.982061189879115
MENUJU MATANG,5.025106296617798,27.269797242717978,21.909855909308288
MENUJU MATANG,4.591685919114101,24.286796601220903,20.433210836025914
MENUJU MATANG,4.381862059542181,23.719631995683834,18.52874944239487
MENUJU MATANG,4.025748484419206,23.83651783633134,19.334542105717915
MENUJU MATANG,4.507856078599215,25.967044406467014,20.46876092604649
MENUJU MATANG,4.091124169620467,24.242368219320667,19.742011804148984
MENUJU MATANG,4.922510154943898,27.505459946369438,23.018260061005016
MENUJU MATANG,4.945548540280189,25.671940744659047,22.365930313926665
MENUJU MATANG,5.202672385384516,28.297106770330988,25.05610738369663
MENUJU MATANG,4.963961189175829,24.6886366855951,19.856071566358025
MENUJU MATANG,4.474669091495467,29.155184773260675,21.813456029067805
MENUJU MATANG,5.353976528340406,29.50319574301135,24.402612505626287
MENUJU MATANG,4.5656335775744274,31.084989571277006,23.71155080285092
MENUJU MATANG,5.263099952980324,27.762142668045108,22.350026071807484
MENUJU MATANG,4.530131838449234,31.19295222278485,24.193106003749516
MENUJU MATANG,4.970613204893262,24.486618041992188,19.81909776224521
MENUJU MATANG,4.301490752294721,25.41007832342705,19.897476196289062
MENUJU MATANG,5.387900270061729,28.861231925556197,24.708985882040896
MENUJU MATANG,4.446101561495306,25.59583605856562,20.1633638609584
MENUJU MATANG,4.274647653838734,21.61119180059237,17.436525886441455
MENUJU MATANG,4.47728889371142,29.551446734141912,22.361660113550506
MENUJU MATANG,4.907682379577386,28.380003564151718,24.03759539568866
MENUJU MATANG,4.6243006074379505,24.984420274020223,21.00198420771846
MENUJU MATANG,4.873164549776556,28.497277091069478,23.21310255262587
MENUJU MATANG,4.1701432844248325,24.549758911132812,20.339719230746045
MENUJU MATANG,4.535930241086356,31.037693039379985,23.661812362356933
MENUJU MATANG,4.255788544077932,23.389776033629115,20.034048009801793
MENUJU MATANG,4.765731309176473,25.775246137454186,20.21060814877106
MENUJU MATANG,4.22662246766895,24.370951209048677,19.474812009207014
MENUJU MATANG,5.033741013012796,28.81816214102286,23.79906058605806
MENUJU MATANG,4.548268636067708,25.53741549268181,20.34137973863892
MENUJU MATANG,4.229644398630401,28.23820702823592,22.180837623376416
MENUJU MATANG,4.369455345373585,29.07426465195393,21.799671377174157
MENUJU MATANG,3.673542666337127,22.43983340165252,17.239273573636027
MENUJU MATANG,4.260804101763439,24.607882527166925,18.843852667160977
MENUJU MATANG,4.935670201179913,27.693137588814942,22.76335194277665
MENUJU MATANG,3.9279421582634066,26.39266496823158,20.362827316723735
MENUJU MATANG,4.726399048856257,26.40463407540027,22.492884443620596
MENUJU MATANG,4.5506341251326194,26.394257659284175,20.703326378339604
MENUJU MATANG,5.300182012864101,28.226788116580664,24.463508511766975
MENUJU MATANG,4.692587204921392,25.363264484170042,21.594217057090727
MENUJU MATANG,4.662781138478974,30.324027983740034,23.72507762516477
